Date,Clicks,Impressions,CTR,Position
2025-11-08,0,26,0%,52.4
2025-11-09,0,34,0%,27.9
2025-11-10,0,43,0%,26.4
2025-11-11,0,82,0%,30.6
2025-11-12,0,36,0%,23.8
2025-11-13,0,45,0%,28.7
2025-11-14,0,28,0%,36.2
2025-11-15,2,38,5.26%,28.4
2025-11-16,1,35,2.86%,35.3
2025-11-17,0,50,0%,26.5
2025-11-18,0,59,0%,46.1
2025-11-19,1,67,1.49%,26.6
2025-11-20,0,49,0%,33.5
2025-11-21,0,41,0%,36.2
2025-11-22,0,32,0%,52.6
2025-11-23,0,48,0%,39.9
2025-11-24,0,48,0%,41.3
2025-11-25,0,73,0%,46.4
2025-11-26,0,65,0%,26.9
2025-11-27,0,45,0%,29.9
2025-11-28,0,49,0%,37.4
2025-11-29,0,33,0%,41.4
2025-11-30,0,32,0%,43.1
2025-12-01,1,49,2.04%,34.6
2025-12-02,0,66,0%,45
2025-12-03,0,55,0%,29.6
2025-12-04,1,53,1.89%,27.6
2025-12-05,0,30,0%,41.2
2025-12-06,0,38,0%,41.6
2025-12-07,0,27,0%,39.2
2025-12-08,0,46,0%,35.7
2025-12-09,0,72,0%,46.1
2025-12-10,0,47,0%,34.3
2025-12-11,0,49,0%,33.9
2025-12-12,0,37,0%,34.4
2025-12-13,1,40,2.5%,43.8
2025-12-14,0,40,0%,42.4
2025-12-15,0,47,0%,46.2
2025-12-16,1,74,1.35%,58.8
2025-12-17,0,54,0%,30.7
2025-12-18,1,33,3.03%,56.6
2025-12-19,0,41,0%,42.1
2025-12-20,0,51,0%,44.8
2025-12-21,0,39,0%,52
2025-12-22,1,50,2%,42.8
2025-12-23,0,107,0%,65.4
2025-12-24,0,78,0%,38.4
2025-12-25,2,61,3.28%,55.3
2025-12-26,0,37,0%,54.7
2025-12-27,0,45,0%,54.9
2025-12-28,0,45,0%,44.8
2025-12-29,1,38,2.63%,49.3
2025-12-30,0,63,0%,57.6
2025-12-31,0,34,0%,59.4
2026-01-01,0,33,0%,58.7
2026-01-02,0,33,0%,59.8
2026-01-03,0,39,0%,54.3
2026-01-04,0,50,0%,37.9
2026-01-05,1,49,2.04%,38.8
2026-01-06,0,63,0%,53
2026-01-07,0,38,0%,40.7
2026-01-08,0,46,0%,39
2026-01-09,0,45,0%,30
2026-01-10,1,47,2.13%,29.6
2026-01-11,0,51,0%,28.1
2026-01-12,1,66,1.52%,29
2026-01-13,0,139,0%,36.3
2026-01-14,0,68,0%,45.4
2026-01-15,0,79,0%,37.2
2026-01-16,0,80,0%,54.2
2026-01-17,0,88,0%,49.2
2026-01-18,0,77,0%,58.2
2026-01-19,0,89,0%,50.5
2026-01-20,1,96,1.04%,47
2026-01-21,1,119,0.84%,50.5
2026-01-22,0,104,0%,51
2026-01-23,0,97,0%,38.5
2026-01-24,0,83,0%,57.6
2026-01-25,0,120,0%,37.9
2026-01-26,0,53,0%,65.7
2026-01-27,0,69,0%,52.1
2026-01-28,0,65,0%,58.5
2026-01-29,1,63,1.59%,54.8
2026-01-30,0,62,0%,58.5
2026-01-31,0,63,0%,64.7
2026-02-01,0,55,0%,62.5
2026-02-02,0,57,0%,59.5
2026-02-03,0,48,0%,57.3
2026-02-04,0,61,0%,54.6
2026-02-05,0,51,0%,65.2
2026-02-06,0,36,0%,71.4
2026-02-07,0,12,0%,88.3
