Country,Clicks,Impressions,CTR,Position
United Kingdom,3,3067,0.1%,64.79
United States,3,789,0.38%,12.98
France,3,29,10.34%,7.83
Spain,2,64,3.12%,18.86
Italy,1,59,1.69%,20.54
Canada,1,49,2.04%,21.27
Philippines,1,37,2.7%,34.24
Poland,1,28,3.57%,8.61
Australia,1,25,4%,11.04
Egypt,1,22,4.55%,16.05
Taiwan,1,7,14.29%,7.14
China,1,6,16.67%,11.33
India,0,92,0%,17.45
Brazil,0,64,0%,16.2
Germany,0,50,0%,10.02
Russia,0,42,0%,12.45
South Korea,0,36,0%,14.64
Vietnam,0,34,0%,27.76
Netherlands,0,32,0%,6.78
Thailand,0,30,0%,24.2
Turkey,0,28,0%,13.36
Saudi Arabia,0,26,0%,16.62
Indonesia,0,25,0%,23.48
Japan,0,21,0%,11.57
Singapore,0,18,0%,8.67
Bangladesh,0,18,0%,33.5
Romania,0,15,0%,10
Malaysia,0,15,0%,25.47
Argentina,0,14,0%,28.57
Hungary,0,13,0%,7.08
Colombia,0,13,0%,32.38
Mexico,0,11,0%,9.27
Finland,0,11,0%,9.36
Switzerland,0,11,0%,14.18
Austria,0,11,0%,14.82
Peru,0,11,0%,19.64
Ukraine,0,10,0%,8.1
Israel,0,10,0%,14.7
South Africa,0,10,0%,15.2
Hong Kong,0,10,0%,16.9
Sweden,0,9,0%,7
Portugal,0,9,0%,18.22
Moldova,0,8,0%,5.88
Iran,0,8,0%,6.25
Greece,0,8,0%,7.25
Czechia,0,8,0%,7.62
Morocco,0,8,0%,21.12
Pakistan,0,8,0%,23.38
United Arab Emirates,0,7,0%,4
Bulgaria,0,7,0%,7.14
Belgium,0,7,0%,8.86
Honduras,0,7,0%,9.43
Iraq,0,7,0%,12.43
Nigeria,0,7,0%,23.14
Serbia,0,6,0%,7.17
Venezuela,0,6,0%,20.17
Oman,0,6,0%,25.17
Armenia,0,5,0%,7.6
Ethiopia,0,5,0%,12.6
Jordan,0,5,0%,28.4
Cape Verde,0,4,0%,7.25
Norway,0,4,0%,8
Belarus,0,4,0%,8.75
Ecuador,0,4,0%,20.25
New Zealand,0,4,0%,29.75
Tunisia,0,3,0%,6
Cyprus,0,3,0%,6.67
Cambodia,0,3,0%,6.67
Costa Rica,0,3,0%,7
Bosnia & Herzegovina,0,3,0%,7.67
Chile,0,3,0%,8
Slovenia,0,3,0%,8.67
Kazakhstan,0,3,0%,16.33
Unknown Region,0,3,0%,17.33
Sri Lanka,0,3,0%,17.67
Algeria,0,3,0%,32
Ireland,0,3,0%,62
Dominican Republic,0,2,0%,3.5
Kenya,0,2,0%,5
Congo - Kinshasa,0,2,0%,5.5
Luxembourg,0,2,0%,7
Haiti,0,2,0%,8
Syria,0,2,0%,24
Trinidad & Tobago,0,2,0%,29
El Salvador,0,2,0%,40
Kyrgyzstan,0,2,0%,48
Bahrain,0,1,0%,1
Nicaragua,0,1,0%,3
Nepal,0,1,0%,3
Albania,0,1,0%,4
Bahamas,0,1,0%,4
Qatar,0,1,0%,5
Slovakia,0,1,0%,5
Iceland,0,1,0%,6
Latvia,0,1,0%,6
Rwanda,0,1,0%,7
Benin,0,1,0%,8
Ghana,0,1,0%,8
Croatia,0,1,0%,8
Denmark,0,1,0%,9
Palestine,0,1,0%,9
Barbados,0,1,0%,10
Guatemala,0,1,0%,10
Mauritius,0,1,0%,10
Myanmar (Burma),0,1,0%,22
Bolivia,0,1,0%,36
