Top pages,Clicks,Impressions,CTR,Position
http://www.andrew-seaford.co.uk/custom-inno-theme/,5,737,0.68%,9.21
http://www.andrew-seaford.co.uk/create-empty-folders-inno/,3,152,1.97%,9.32
http://www.andrew-seaford.co.uk/create-m3u-playlist-from-directory-list/,2,270,0.74%,10.24
http://www.andrew-seaford.co.uk/wp-content/uploads/2021/03/CNC.pdf,2,215,0.93%,5.66
http://www.andrew-seaford.co.uk/how-to-mock-a-function-that-returns-a-value/,2,77,2.6%,23.55
http://www.andrew-seaford.co.uk/flood-fill-opencv/,1,306,0.33%,12.46
http://www.andrew-seaford.co.uk/check-dotnet-framework-installed-inno-setup/,1,213,0.47%,12.54
http://www.andrew-seaford.co.uk/wp-content/uploads/2021/03/Iterative-Design-Process.pdf,1,191,0.52%,58.3
http://www.andrew-seaford.co.uk/simple-box-code/,1,53,1.89%,7.17
http://www.andrew-seaford.co.uk/detecting-dominant-points-image-opencv/,1,19,5.26%,27.74
http://www.andrew-seaford.co.uk/wp-content/uploads/2021/03/Vacuum-Forming.pdf,0,2508,0%,75.16
http://www.andrew-seaford.co.uk/c-open-file-dialog/,0,114,0%,34.55
http://www.andrew-seaford.co.uk/reporting-endstop-status/,0,74,0%,15.74
http://www.andrew-seaford.co.uk/how-to-mock-a-function-and-confirm-the-function-was-called/,0,65,0%,19.29
http://www.andrew-seaford.co.uk/installing-inno-installer/,0,34,0%,25.53
http://www.andrew-seaford.co.uk/projects/,0,15,0%,5.87
http://www.andrew-seaford.co.uk/threshold-image-opencv/,0,15,0%,33.2
http://www.andrew-seaford.co.uk/image-contour-detection-display-opencv/,0,14,0%,44.21
http://www.andrew-seaford.co.uk/wp-content/uploads/2021/03/The-Six-Rs.pdf,0,11,0%,8.82
http://www.andrew-seaford.co.uk/wp-content/uploads/2021/03/Production-Techniques-and-Systems.pdf,0,10,0%,8.2
http://www.andrew-seaford.co.uk/wp-content/uploads/2015/02/InstallLargeImage.png,0,6,0%,8
http://www.andrew-seaford.co.uk/tag/python-2/?wptouch_switch=desktop,0,4,0%,13.25
http://www.andrew-seaford.co.uk/how-to-use-extension-methods-in-c/,0,4,0%,13.75
http://www.andrew-seaford.co.uk/projects/newsgroups/,0,3,0%,7.67
http://www.andrew-seaford.co.uk/moving-forwards/,0,3,0%,8.67
http://www.andrew-seaford.co.uk/revision/gcse-technology/,0,3,0%,8.67
http://www.andrew-seaford.co.uk/tag/image-processing/,0,2,0%,18
http://www.andrew-seaford.co.uk/wp-content/uploads/2015/02/InstallSmallImage.png,0,2,0%,19.5
http://www.andrew-seaford.co.uk/wp-content/uploads/2021/03/Smart-Materials.pdf,0,1,0%,10
http://www.andrew-seaford.co.uk/revision/gsce-computer-science/,0,1,0%,58
